flowid,sport,dsport,timestamp,totalHeaderSize,max_pkt_size,mean_pkt_size,attack_cat,Label
31329,1886,53,2015-02-18 00:38:03.225406,88,89,89.0,BENIGN,0
37467,26551,80,2015-02-18 00:38:03.426762,280,72,70.0,BENIGN,0
167827,25779,53,2015-02-18 00:38:03.525419,88,82,82.0,BENIGN,0
88189,29157,22,2015-02-18 00:38:03.625404,280,72,70.0,BENIGN,0
172925,46415,80,2015-02-18 00:38:03.926873,280,72,70.0,BENIGN,0
31647,3083,53,2015-02-18 00:38:04.125460,88,82,82.0,BENIGN,0
99717,9598,53,2015-02-18 00:38:04.425462,88,82,82.0,BENIGN,0
90978,40425,80,2015-02-18 00:38:04.526704,280,72,70.0,BENIGN,0
132715,12031,53,2015-02-18 00:38:04.625462,88,82,82.0,BENIGN,0
23619,36224,80,2015-02-18 00:38:04.726730,280,72,70.0,BENIGN,0
69068,19040,53,2015-02-18 00:38:04.925470,88,82,82.0,BENIGN,0
69816,22291,5190,2015-02-18 00:38:05.125438,280,72,70.0,BENIGN,0
151891,26176,111,2015-02-18 00:38:05.325457,176,158,158.0,BENIGN,0
136267,26905,53,2015-02-18 00:38:05.425468,88,82,82.0,BENIGN,0
21749,29020,53,2015-02-18 00:38:05.525461,88,89,89.0,BENIGN,0
81764,3942,111,2015-02-18 00:38:05.925463,176,158,158.0,BENIGN,0
67255,11972,53,2015-02-18 00:38:06.425466,88,82,82.0,BENIGN,0
73081,35217,80,2015-02-18 00:38:06.426764,280,72,70.0,BENIGN,0
122934,36954,80,2015-02-18 00:38:06.526785,280,72,70.0,BENIGN,0
134333,19018,80,2015-02-18 00:38:06.727010,280,72,70.0,BENIGN,0
78840,58064,53,2015-02-18 00:38:07.325458,88,82,82.0,BENIGN,0
39019,32665,22,2015-02-18 00:38:07.525454,280,72,70.0,BENIGN,0
48455,3906,30239,2015-02-18 00:38:07.627198,176,164,148.0,BENIGN,0
76731,49785,80,2015-02-18 00:38:07.726770,280,72,70.0,BENIGN,0
117520,13903,80,2015-02-18 00:38:07.826753,280,72,70.0,BENIGN,0
116599,10015,53,2015-02-18 00:38:07.925472,88,89,89.0,BENIGN,0
117226,12555,80,2015-02-18 00:38:07.926696,280,72,70.0,BENIGN,0
107685,40189,4822,2015-02-18 00:38:08.225467,280,72,70.0,BENIGN,0
102966,21933,80,2015-02-18 00:38:08.726795,280,72,70.0,BENIGN,0
130655,3555,6881,2015-02-18 00:38:08.859719,280,72,70.0,BENIGN,0
79249,59722,6881,2015-02-18 00:38:08.862594,280,72,70.0,BENIGN,0
139871,42264,6881,2015-02-18 00:38:08.863955,276,136,86.0,BENIGN,0
60479,51004,6881,2015-02-18 00:38:08.865128,280,72,70.0,BENIGN,0
70151,23589,6881,2015-02-18 00:38:08.873564,280,72,70.0,BENIGN,0
175492,56893,6881,2015-02-18 00:38:08.875423,280,72,70.0,BENIGN,0
94165,53107,6881,2015-02-18 00:38:08.877407,280,72,70.0,BENIGN,0
143586,57264,6881,2015-02-18 00:38:08.878439,280,72,70.0,BENIGN,0
137110,30445,6881,2015-02-18 00:38:08.882400,280,72,70.0,BENIGN,0
111342,54731,6881,2015-02-18 00:38:08.883416,280,72,70.0,BENIGN,0
61485,54894,5190,2015-02-18 00:38:08.925426,280,72,70.0,BENIGN,0
57990,41338,6881,2015-02-18 00:38:08.939470,276,136,86.0,BENIGN,0
29155,58163,6881,2015-02-18 00:38:08.944488,280,72,70.0,BENIGN,0
27445,51549,6881,2015-02-18 00:38:08.946459,280,72,70.0,BENIGN,0
167681,25098,6881,2015-02-18 00:38:08.946512,280,72,70.0,BENIGN,0
89772,35701,6881,2015-02-18 00:38:08.947486,280,72,70.0,BENIGN,0
130851,4320,6881,2015-02-18 00:38:08.949642,280,72,70.0,BENIGN,0
137565,32364,6881,2015-02-18 00:38:08.950948,280,72,70.0,BENIGN,0
152685,29703,6881,2015-02-18 00:38:08.962432,280,72,70.0,BENIGN,0
91160,41269,6881,2015-02-18 00:38:08.962437,280,72,70.0,BENIGN,0
161591,1228,6881,2015-02-18 00:38:08.964431,280,72,70.0,BENIGN,0
172224,43454,6881,2015-02-18 00:38:08.968479,280,72,70.0,BENIGN,0
171933,42297,6881,2015-02-18 00:38:08.970040,280,72,70.0,BENIGN,0
38211,29501,6881,2015-02-18 00:38:08.983464,280,72,70.0,BENIGN,0
59050,45298,6881,2015-02-18 00:38:08.985400,280,72,70.0,BENIGN,0
153127,31466,6881,2015-02-18 00:38:08.986460,280,72,70.0,BENIGN,0
53879,25221,6881,2015-02-18 00:38:08.988970,280,72,70.0,BENIGN,0
152299,27981,6881,2015-02-18 00:38:08.993082,280,72,70.0,BENIGN,0
159809,58873,6881,2015-02-18 00:38:09.008867,280,72,70.0,BENIGN,0
77436,52605,6881,2015-02-18 00:38:09.017397,280,72,70.0,BENIGN,0
79213,59572,6881,2015-02-18 00:38:09.018440,280,72,70.0,BENIGN,0
169103,30970,6881,2015-02-18 00:38:09.018465,280,72,70.0,BENIGN,0
22246,30934,6881,2015-02-18 00:38:09.018468,280,72,70.0,BENIGN,0
31860,4009,6881,2015-02-18 00:38:09.019413,280,72,70.0,BENIGN,0
168738,29459,6881,2015-02-18 00:38:09.019427,280,72,70.0,BENIGN,0
159975,59492,6881,2015-02-18 00:38:09.019445,276,136,86.0,BENIGN,0
160199,60350,6881,2015-02-18 00:38:09.021714,280,72,70.0,BENIGN,0
112881,60552,6881,2015-02-18 00:38:09.025013,280,72,70.0,BENIGN,0
61723,55837,6881,2015-02-18 00:38:09.079011,280,72,70.0,BENIGN,0
61860,56365,6881,2015-02-18 00:38:09.082790,280,72,70.0,BENIGN,0
128793,61384,53,2015-02-18 00:38:09.087486,88,89,89.0,BENIGN,0
66851,10446,6881,2015-02-18 00:38:09.106397,280,72,70.0,BENIGN,0
41556,42615,6881,2015-02-18 00:38:09.110640,280,72,70.0,BENIGN,0
29616,60140,6881,2015-02-18 00:38:09.113868,280,72,70.0,BENIGN,0
175738,58062,6881,2015-02-18 00:38:09.143407,276,136,86.0,BENIGN,0
148762,13224,6881,2015-02-18 00:38:09.144413,276,136,86.0,BENIGN,0
30433,63493,6881,2015-02-18 00:38:09.146451,280,72,70.0,BENIGN,0
65201,3865,6881,2015-02-18 00:38:09.148792,280,72,70.0,BENIGN,0
63069,61129,6881,2015-02-18 00:38:09.163489,280,72,70.0,BENIGN,0
71552,29015,6881,2015-02-18 00:38:09.165726,280,72,70.0,BENIGN,0
89763,35649,6881,2015-02-18 00:38:09.174491,280,72,70.0,BENIGN,0
38463,30462,6881,2015-02-18 00:38:09.179502,280,72,70.0,BENIGN,0
22452,31747,6881,2015-02-18 00:38:09.186412,280,72,70.0,BENIGN,0
48769,5072,6881,2015-02-18 00:38:09.186462,280,72,70.0,BENIGN,0
33747,11338,6881,2015-02-18 00:38:09.203463,280,72,70.0,BENIGN,0
164835,13426,6881,2015-02-18 00:38:09.213625,280,72,70.0,BENIGN,0
106505,35736,6881,2015-02-18 00:38:09.215733,280,136,87.0,BENIGN,0
130369,2308,6881,2015-02-18 00:38:09.216083,280,72,70.0,BENIGN,0
173740,49578,6881,2015-02-18 00:38:09.225468,280,72,70.0,BENIGN,0
32271,5612,6881,2015-02-18 00:38:09.228447,280,72,70.0,BENIGN,0
37992,28616,6881,2015-02-18 00:38:09.228671,280,72,70.0,BENIGN,0
41473,42318,6881,2015-02-18 00:38:09.229441,280,72,70.0,BENIGN,0
153856,34398,6881,2015-02-18 00:38:09.234694,280,72,70.0,BENIGN,0
31349,1923,6881,2015-02-18 00:38:09.235420,280,72,70.0,BENIGN,0
72705,33777,6881,2015-02-18 00:38:09.258557,280,72,70.0,BENIGN,0
142664,53506,6881,2015-02-18 00:38:09.271473,280,72,70.0,BENIGN,0
142581,53199,6881,2015-02-18 00:38:09.275441,280,72,70.0,BENIGN,0
28479,55393,6881,2015-02-18 00:38:09.280475,280,72,70.0,BENIGN,0
169150,31188,6881,2015-02-18 00:38:09.287543,280,72,70.0,BENIGN,0
33992,12241,6881,2015-02-18 00:38:09.293573,280,72,70.0,BENIGN,0
164369,11672,6881,2015-02-18 00:38:09.297612,280,72,70.0,BENIGN,0
91793,43687,6881,2015-02-18 00:38:09.315425,280,72,70.0,BENIGN,0
26871,49328,6881,2015-02-18 00:38:09.326463,280,72,70.0,BENIGN,0
45936,59683,6881,2015-02-18 00:38:09.329032,280,72,70.0,BENIGN,0
72354,32328,6881,2015-02-18 00:38:09.332448,280,72,70.0,BENIGN,0
64262,1125,6881,2015-02-18 00:38:09.333691,280,72,70.0,BENIGN,0
67954,14791,6881,2015-02-18 00:38:09.334628,280,72,70.0,BENIGN,0
98939,6604,6881,2015-02-18 00:38:09.344655,280,72,70.0,BENIGN,0
138454,35992,6881,2015-02-18 00:38:09.363428,280,72,70.0,BENIGN,0
149953,18059,6881,2015-02-18 00:38:09.371707,280,72,70.0,BENIGN,0
73953,38626,6881,2015-02-18 00:38:09.379521,280,72,70.0,BENIGN,0
28415,55117,6881,2015-02-18 00:38:09.381463,280,72,70.0,BENIGN,0
43731,50829,51448,2015-02-18 00:38:09.426474,280,72,70.0,BENIGN,0
98453,4670,6881,2015-02-18 00:38:09.451142,280,72,70.0,BENIGN,0
150380,19796,6881,2015-02-18 00:38:09.475488,280,72,70.0,BENIGN,0
91467,42561,6881,2015-02-18 00:38:09.500481,280,72,70.0,BENIGN,0
146826,5206,6881,2015-02-18 00:38:09.517590,280,72,70.0,BENIGN,0
76746,49837,143,2015-02-18 00:38:09.555701,280,72,70.0,BENIGN,0
134160,18323,6881,2015-02-18 00:38:09.560478,280,72,70.0,BENIGN,0
29111,58013,6881,2015-02-18 00:38:09.586823,280,72,70.0,BENIGN,0
133369,14868,6881,2015-02-18 00:38:09.590198,280,72,70.0,BENIGN,0
34520,14448,6881,2015-02-18 00:38:09.679479,280,72,70.0,BENIGN,0
106671,36291,6881,2015-02-18 00:38:09.718398,280,72,70.0,BENIGN,0
125751,48660,53,2015-02-18 00:38:09.857478,88,81,81.0,BENIGN,0
115673,6156,143,2015-02-18 00:38:09.880494,280,72,70.0,BENIGN,0
111063,53579,6881,2015-02-18 00:38:09.980469,280,72,70.0,BENIGN,0
171327,39900,5190,2015-02-18 00:38:10.025468,280,72,70.0,BENIGN,0
59519,47191,6881,2015-02-18 00:38:10.122570,280,72,70.0,BENIGN,0
107778,40492,53,2015-02-18 00:38:10.125476,88,82,82.0,BENIGN,0
101962,18108,6881,2015-02-18 00:38:10.376477,280,72,70.0,BENIGN,0
101287,15518,6881,2015-02-18 00:38:10.383433,280,72,70.0,BENIGN,0
165965,18167,6881,2015-02-18 00:38:10.453461,280,72,70.0,BENIGN,0
60553,51287,57425,2015-02-18 00:38:10.787802,280,72,70.0,BENIGN,0
166992,22489,111,2015-02-18 00:38:11.190471,176,158,158.0,BENIGN,0
142569,53157,32257,2015-02-18 00:38:11.325479,280,72,70.0,BENIGN,0
17733,12496,80,2015-02-18 00:38:11.949491,280,72,70.0,BENIGN,0
130817,4182,6881,2015-02-18 00:38:12.016507,280,72,70.0,BENIGN,0
23309,34884,6881,2015-02-18 00:38:12.066498,280,72,70.0,BENIGN,0
68840,18143,16121,2015-02-18 00:38:12.086194,280,72,70.0,BENIGN,0
19609,20178,80,2015-02-18 00:38:12.142482,280,72,70.0,BENIGN,0
36157,21092,11922,2015-02-18 00:38:12.325881,280,72,70.0,BENIGN,0
176873,62691,6881,2015-02-18 00:38:12.336480,280,72,70.0,BENIGN,0
166566,20733,25,2015-02-18 00:38:12.395515,280,72,70.0,BENIGN,0
165180,14825,6881,2015-02-18 00:38:12.464518,280,72,70.0,BENIGN,0
53022,21990,53,2015-02-18 00:38:12.526488,88,82,82.0,BENIGN,0
111200,54177,6881,2015-02-18 00:38:12.953204,280,72,70.0,BENIGN,0
73192,35629,12064,2015-02-18 00:38:13.002640,280,72,70.0,BENIGN,0
81046,1584,6881,2015-02-18 00:38:13.046773,280,72,70.0,BENIGN,0
81365,2378,6881,2015-02-18 00:38:13.051512,280,72,70.0,BENIGN,0
63387,62398,6881,2015-02-18 00:38:13.052733,280,72,70.0,BENIGN,0
30442,63521,34601,2015-02-18 00:38:13.192378,280,72,70.0,BENIGN,0
43492,49957,21,2015-02-18 00:38:13.228492,280,72,70.0,BENIGN,0
32064,4800,56538,2015-02-18 00:38:13.277001,280,72,70.0,BENIGN,0
99387,8353,6881,2015-02-18 00:38:13.360561,280,72,70.0,BENIGN,0
141549,49083,53,2015-02-18 00:38:13.425478,88,82,82.0,BENIGN,0
131835,8325,6881,2015-02-18 00:38:13.436949,280,72,70.0,BENIGN,0
132389,10667,6881,2015-02-18 00:38:13.449530,280,72,70.0,BENIGN,0
140626,45429,6881,2015-02-18 00:38:13.501529,280,72,70.0,BENIGN,0
99858,10112,6881,2015-02-18 00:38:13.554338,280,72,70.0,BENIGN,0
107981,41307,6881,2015-02-18 00:38:13.567522,280,72,70.0,BENIGN,0
25703,44840,53,2015-02-18 00:38:13.631536,44,82,82.0,BENIGN,0
168038,26613,80,2015-02-18 00:38:13.633469,280,72,70.0,BENIGN,0
24179,38461,80,2015-02-18 00:38:13.633479,280,72,70.0,BENIGN,0
17556,11782,6881,2015-02-18 00:38:13.662531,280,72,70.0,BENIGN,0
170915,38229,21463,2015-02-18 00:38:13.725497,280,72,70.0,BENIGN,0
64565,1708,6881,2015-02-18 00:38:14.030498,280,72,70.0,BENIGN,0
52444,19748,53,2015-02-18 00:38:14.152538,88,89,89.0,BENIGN,0
54572,28081,26008,2015-02-18 00:38:14.223329,280,72,70.0,BENIGN,0
54476,27646,6881,2015-02-18 00:38:14.335469,280,72,70.0,BENIGN,0
62391,58323,6881,2015-02-18 00:38:14.336424,280,72,70.0,BENIGN,0
47888,1873,53,2015-02-18 00:38:14.357490,88,89,89.0,BENIGN,0
31186,1524,53662,2015-02-18 00:38:14.625705,280,72,70.0,BENIGN,0
16920,9286,6995,2015-02-18 00:38:14.690668,280,72,70.0,BENIGN,0
173972,50467,80,2015-02-18 00:38:14.726738,280,72,70.0,BENIGN,0
37563,26883,111,2015-02-18 00:38:14.788509,176,158,158.0,BENIGN,0
43617,50460,54605,2015-02-18 00:38:14.851743,280,72,70.0,BENIGN,0
145857,1569,5190,2015-02-18 00:38:15.025555,280,72,70.0,BENIGN,0
139119,39006,43036,2015-02-18 00:38:15.092589,280,72,70.0,BENIGN,0
82255,5751,53,2015-02-18 00:38:15.225568,88,82,82.0,BENIGN,0
83898,11919,6881,2015-02-18 00:38:15.233861,280,72,70.0,BENIGN,0
91945,44276,6881,2015-02-18 00:38:15.235681,280,72,70.0,BENIGN,0
47288,64882,80,2015-02-18 00:38:16.027637,280,72,70.0,BENIGN,0
36526,22733,6881,2015-02-18 00:38:16.031558,280,72,70.0,BENIGN,0
37173,25288,6881,2015-02-18 00:38:16.035547,280,72,70.0,BENIGN,0
16688,8374,80,2015-02-18 00:38:16.087141,280,72,70.0,BENIGN,0
86158,21186,22969,2015-02-18 00:38:16.125549,280,72,70.0,BENIGN,0
154908,38808,9262,2015-02-18 00:38:16.251546,280,72,70.0,BENIGN,0
175131,55398,53,2015-02-18 00:38:16.325576,88,82,82.0,BENIGN,0
174729,53695,6881,2015-02-18 00:38:16.336341,280,72,70.0,BENIGN,0
145875,1600,31372,2015-02-18 00:38:16.367537,280,72,70.0,BENIGN,0
21208,26963,61037,2015-02-18 00:38:16.425543,280,72,70.0,BENIGN,0
22701,32632,6881,2015-02-18 00:38:16.531657,280,72,70.0,BENIGN,0
26035,46205,6881,2015-02-18 00:38:16.534474,280,72,70.0,BENIGN,0
111450,55142,61339,2015-02-18 00:38:16.605889,280,72,70.0,BENIGN,0
38351,30079,5190,2015-02-18 00:38:16.625552,280,72,70.0,BENIGN,0
88985,32362,53,2015-02-18 00:38:16.725532,88,89,89.0,BENIGN,0
90448,38297,43307,2015-02-18 00:38:17.046540,176,160,146.0,BENIGN,0
65678,5805,53,2015-02-18 00:38:17.049552,176,81,81.0,BENIGN,0
164495,12072,39915,2015-02-18 00:38:17.193994,280,72,70.0,BENIGN,0
156628,45820,53,2015-02-18 00:38:17.225596,88,82,82.0,BENIGN,0
148679,12861,6881,2015-02-18 00:38:17.234542,280,72,70.0,BENIGN,0
116728,10508,53,2015-02-18 00:38:17.325563,88,82,82.0,BENIGN,0
122594,35583,6881,2015-02-18 00:38:17.331767,280,72,70.0,BENIGN,0
122981,37127,6881,2015-02-18 00:38:17.333475,280,72,70.0,BENIGN,0
118137,16397,6881,2015-02-18 00:38:17.334397,280,72,70.0,BENIGN,0
